         22662402 function calls (22652600 primitive calls) in 13.634 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
     1450    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
     2454    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
       68    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated}
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        3    0.000    0.000    0.000    0.000 {built-in method atexit.register}
 1227/914    0.019    0.000    0.223    0.000 {built-in method builtins.__build_class__}
   398/28    0.001    0.000    0.595    0.021 {built-in method builtins.__import__}
   463688    0.056    0.000    0.056    0.000 {built-in method builtins.abs}
      364    0.000    0.000    0.002    0.000 {built-in method builtins.all}
     1918    0.005    0.000    0.025    0.000 {built-in method builtins.any}
     3128    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      646    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     1064    0.063    0.000    0.063    0.000 {built-in method builtins.compile}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       25    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       39    0.002    0.000    0.006    0.000 {built-in method builtins.eval}
   1603/1    0.003    0.000   13.635   13.635 {built-in method builtins.exec}
    21371    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
      538    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
     8101    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
  2662964    0.438    0.000    0.438    0.000 {built-in method builtins.hash}
      965    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    43441    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
      717    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      412    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
74789/73760    0.009    0.000    0.010    0.000 {built-in method builtins.len}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
      379    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    23584    0.006    0.000    0.006    0.000 {built-in method builtins.min}
      855    0.000    0.000    0.002    0.000 {built-in method builtins.next}
     2213    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.pow}
      156    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
